,cha,con,dex,int,result,str,wis
1761,11.0,17.0,10.0,10.0,fail,15.0,6.0
1762,12.0,14.0,9.0,11.0,succeed,16.0,14.0
1763,16.0,14.0,16.0,12.0,fail,9.0,13.0
1764,12.0,16.0,5.0,15.0,succeed,8.0,13.0
1765,7.0,5.0,12.0,11.0,succeed,20.0,7.0
1766,11.0,17.0,16.0,6.0,fail,9.0,5.0
1767,17.0,11.0,13.0,6.0,fail,16.0,2.0
1768,15.0,13.0,10.0,15.0,succeed,8.0,8.0
1769,6.0,5.0,7.0,18.0,fail,14.0,14.0
1770,15.0,19.0,14.0,11.0,succeed,9.0,13.0
1771,11.0,12.0,13.0,3.0,succeed,16.0,17.0
1772,18.0,19.0,6.0,3.0,succeed,6.0,8.0
1773,14.0,12.0,12.0,14.0,fail,10.0,9.0
1774,9.0,12.0,19.0,12.0,succeed,16.0,14.0
1775,12.0,5.0,12.0,4.0,fail,10.0,18.0
1776,9.0,9.0,11.0,11.0,fail,11.0,12.0
1777,16.0,12.0,20.0,17.0,succeed,11.0,7.0
1778,18.0,12.0,13.0,9.0,fail,15.0,8.0
1779,18.0,11.0,8.0,11.0,succeed,13.0,6.0
1780,11.0,10.0,13.0,14.0,fail,17.0,9.0
1781,11.0,20.0,17.0,17.0,succeed,11.0,15.0
1782,3.0,9.0,9.0,14.0,fail,19.0,9.0
1783,11.0,9.0,9.0,9.0,fail,13.0,11.0
1784,10.0,7.0,14.0,14.0,succeed,4.0,17.0
1785,17.0,7.0,10.0,5.0,fail,12.0,10.0
1786,11.0,10.0,6.0,19.0,succeed,8.0,12.0
1787,13.0,15.0,12.0,5.0,succeed,9.0,17.0
1788,8.0,8.0,11.0,10.0,succeed,9.0,15.0
1789,17.0,10.0,11.0,11.0,fail,11.0,9.0
1790,10.0,13.0,17.0,6.0,fail,15.0,11.0
1791,17.0,13.0,18.0,9.0,succeed,7.0,12.0
1792,17.0,6.0,11.0,12.0,succeed,13.0,18.0
1793,12.0,5.0,12.0,10.0,fail,11.0,11.0
1794,11.0,13.0,10.0,14.0,succeed,10.0,11.0
1795,18.0,11.0,4.0,14.0,succeed,9.0,9.0
1796,14.0,12.0,18.0,7.0,succeed,11.0,12.0
1797,7.0,10.0,16.0,4.0,fail,16.0,10.0
1798,13.0,17.0,15.0,8.0,succeed,10.0,6.0
1799,6.0,8.0,15.0,6.0,succeed,16.0,16.0
1800,14.0,11.0,7.0,12.0,succeed,14.0,18.0
1801,17.0,13.0,13.0,10.0,succeed,15.0,15.0
1802,16.0,11.0,14.0,18.0,succeed,8.0,12.0
1803,18.0,15.0,17.0,10.0,succeed,6.0,2.0
1804,16.0,15.0,10.0,11.0,succeed,7.0,10.0
1805,10.0,14.0,17.0,6.0,fail,16.0,17.0
1806,13.0,17.0,8.0,13.0,succeed,14.0,15.0
1807,18.0,9.0,5.0,11.0,succeed,19.0,15.0
1808,11.0,10.0,9.0,15.0,succeed,15.0,6.0
1809,8.0,19.0,10.0,10.0,succeed,7.0,8.0
1810,15.0,10.0,19.0,13.0,succeed,12.0,10.0
1811,10.0,19.0,10.0,16.0,fail,19.0,7.0
1812,11.0,8.0,14.0,13.0,succeed,15.0,15.0
1813,10.0,16.0,15.0,16.0,fail,12.0,19.0
1814,6.0,14.0,14.0,4.0,fail,9.0,18.0
1815,11.0,14.0,13.0,6.0,fail,4.0,16.0
1816,19.0,15.0,6.0,11.0,succeed,13.0,18.0
1817,10.0,10.0,17.0,7.0,succeed,5.0,18.0
1818,12.0,7.0,11.0,10.0,succeed,14.0,18.0
1819,7.0,10.0,12.0,18.0,succeed,17.0,11.0
1820,10.0,10.0,13.0,14.0,fail,11.0,5.0
1821,12.0,3.0,17.0,5.0,fail,12.0,11.0
1822,13.0,5.0,12.0,18.0,fail,6.0,11.0
1823,11.0,17.0,12.0,9.0,succeed,18.0,9.0
1824,18.0,11.0,11.0,8.0,succeed,8.0,9.0
1825,8.0,6.0,14.0,16.0,succeed,15.0,9.0
1826,11.0,14.0,10.0,11.0,fail,7.0,16.0
1827,11.0,17.0,4.0,13.0,succeed,11.0,11.0
1828,6.0,11.0,11.0,13.0,fail,6.0,16.0
1829,11.0,9.0,13.0,12.0,succeed,17.0,13.0
1830,18.0,14.0,10.0,9.0,succeed,16.0,15.0
1831,11.0,10.0,12.0,6.0,fail,13.0,12.0
1832,9.0,13.0,14.0,15.0,fail,10.0,9.0
1833,15.0,13.0,14.0,8.0,fail,18.0,13.0
1834,15.0,18.0,9.0,14.0,succeed,16.0,10.0
1835,3.0,11.0,7.0,18.0,succeed,17.0,5.0
1836,8.0,7.0,6.0,17.0,succeed,15.0,14.0
1837,12.0,14.0,9.0,17.0,succeed,5.0,9.0
1838,19.0,5.0,12.0,9.0,succeed,12.0,17.0
1839,10.0,5.0,15.0,16.0,fail,15.0,10.0
1840,12.0,14.0,11.0,4.0,succeed,13.0,7.0
1841,12.0,8.0,4.0,10.0,fail,14.0,16.0
1842,8.0,17.0,10.0,15.0,fail,5.0,17.0
1843,5.0,9.0,18.0,6.0,succeed,14.0,13.0
1844,19.0,14.0,12.0,15.0,succeed,11.0,8.0
1845,7.0,6.0,10.0,7.0,fail,13.0,17.0
1846,9.0,8.0,4.0,12.0,succeed,19.0,12.0
1847,12.0,5.0,6.0,10.0,fail,14.0,14.0
1848,16.0,9.0,14.0,15.0,succeed,7.0,9.0
1849,16.0,14.0,15.0,8.0,succeed,9.0,10.0
1850,16.0,15.0,15.0,15.0,fail,8.0,7.0
1851,14.0,8.0,15.0,9.0,succeed,13.0,8.0
1852,14.0,17.0,15.0,14.0,succeed,10.0,9.0
1853,15.0,7.0,4.0,8.0,fail,14.0,16.0
1854,12.0,13.0,7.0,13.0,succeed,8.0,18.0
1855,5.0,13.0,6.0,11.0,succeed,17.0,12.0
1856,14.0,14.0,14.0,14.0,fail,10.0,8.0
1857,8.0,18.0,14.0,12.0,succeed,16.0,4.0
1858,18.0,20.0,8.0,7.0,succeed,18.0,6.0
1859,16.0,14.0,16.0,4.0,fail,17.0,6.0
1860,13.0,13.0,10.0,18.0,fail,11.0,12.0
1861,12.0,10.0,12.0,13.0,succeed,13.0,19.0
1862,12.0,10.0,11.0,12.0,succeed,3.0,18.0
1863,9.0,17.0,11.0,13.0,fail,7.0,13.0
1864,10.0,13.0,7.0,17.0,succeed,10.0,12.0
1865,10.0,8.0,17.0,6.0,succeed,9.0,18.0
1866,8.0,12.0,7.0,11.0,succeed,15.0,19.0
1867,11.0,14.0,9.0,13.0,succeed,5.0,12.0
1868,17.0,15.0,6.0,12.0,succeed,15.0,12.0
1869,10.0,14.0,6.0,10.0,succeed,19.0,19.0
1870,4.0,19.0,13.0,15.0,fail,15.0,15.0
1871,15.0,19.0,11.0,17.0,succeed,12.0,16.0
1872,13.0,12.0,8.0,11.0,succeed,12.0,8.0
1873,9.0,18.0,12.0,15.0,succeed,16.0,10.0
1874,16.0,13.0,5.0,13.0,fail,14.0,7.0
1875,11.0,15.0,15.0,9.0,succeed,15.0,18.0
1876,10.0,12.0,14.0,10.0,succeed,9.0,17.0
1877,20.0,12.0,3.0,14.0,succeed,15.0,15.0
1878,7.0,13.0,12.0,18.0,fail,9.0,4.0
1879,16.0,5.0,11.0,14.0,succeed,18.0,14.0
1880,5.0,5.0,11.0,14.0,succeed,15.0,12.0
1881,9.0,17.0,17.0,15.0,succeed,5.0,8.0
1882,4.0,15.0,17.0,19.0,fail,9.0,17.0
1883,9.0,10.0,7.0,10.0,succeed,14.0,13.0
1884,16.0,8.0,8.0,5.0,succeed,16.0,14.0
1885,18.0,12.0,7.0,14.0,succeed,9.0,6.0
1886,7.0,12.0,13.0,15.0,fail,13.0,16.0
1887,17.0,10.0,11.0,9.0,succeed,12.0,16.0
1888,16.0,10.0,16.0,11.0,succeed,15.0,14.0
1889,11.0,9.0,7.0,19.0,succeed,9.0,12.0
1890,14.0,16.0,5.0,18.0,succeed,9.0,8.0
1891,10.0,11.0,15.0,12.0,succeed,17.0,18.0
1892,13.0,14.0,9.0,7.0,fail,13.0,10.0
1893,11.0,7.0,17.0,17.0,succeed,17.0,19.0
1894,7.0,18.0,13.0,10.0,succeed,11.0,12.0
1895,16.0,6.0,7.0,15.0,succeed,13.0,7.0
1896,13.0,16.0,5.0,10.0,succeed,11.0,18.0
1897,11.0,20.0,11.0,13.0,succeed,10.0,11.0
1898,13.0,7.0,17.0,15.0,fail,13.0,12.0
1899,8.0,8.0,18.0,15.0,fail,7.0,11.0
1900,10.0,17.0,11.0,4.0,fail,13.0,18.0
1901,11.0,15.0,7.0,15.0,succeed,8.0,13.0
1902,13.0,13.0,8.0,8.0,succeed,12.0,12.0
1903,13.0,15.0,15.0,14.0,succeed,13.0,13.0
1904,13.0,8.0,16.0,15.0,succeed,9.0,11.0
1905,11.0,9.0,18.0,12.0,fail,12.0,5.0
1906,12.0,7.0,15.0,12.0,fail,10.0,6.0
1907,14.0,15.0,19.0,8.0,succeed,12.0,8.0
1908,16.0,9.0,4.0,11.0,succeed,9.0,14.0
1909,12.0,13.0,6.0,12.0,succeed,16.0,12.0
1910,7.0,10.0,16.0,11.0,fail,15.0,6.0
1911,11.0,12.0,15.0,14.0,succeed,16.0,6.0
1912,10.0,9.0,13.0,12.0,succeed,12.0,12.0
1913,17.0,16.0,6.0,10.0,succeed,7.0,13.0
1914,10.0,15.0,14.0,10.0,succeed,11.0,13.0
1915,11.0,14.0,7.0,11.0,succeed,10.0,16.0
1916,9.0,8.0,11.0,14.0,succeed,12.0,9.0
1917,7.0,15.0,14.0,9.0,fail,13.0,11.0
1918,13.0,11.0,5.0,14.0,succeed,9.0,15.0
1919,15.0,12.0,6.0,11.0,succeed,11.0,14.0
1920,11.0,19.0,11.0,5.0,succeed,9.0,15.0
1921,10.0,9.0,12.0,19.0,succeed,14.0,7.0
1922,12.0,11.0,14.0,16.0,fail,5.0,11.0
1923,13.0,16.0,16.0,16.0,succeed,7.0,14.0
1924,14.0,15.0,8.0,3.0,succeed,11.0,12.0
1925,10.0,12.0,12.0,11.0,succeed,11.0,17.0
1926,18.0,16.0,13.0,11.0,succeed,11.0,6.0
1927,11.0,15.0,12.0,15.0,fail,9.0,16.0
1928,9.0,9.0,7.0,3.0,fail,19.0,17.0
1929,15.0,10.0,9.0,5.0,fail,19.0,7.0
1930,18.0,13.0,11.0,15.0,fail,11.0,4.0
1931,12.0,10.0,16.0,7.0,fail,11.0,8.0
1932,5.0,12.0,15.0,9.0,fail,12.0,7.0
1933,12.0,4.0,15.0,20.0,succeed,20.0,8.0
1934,12.0,10.0,14.0,5.0,fail,14.0,12.0
1935,9.0,16.0,4.0,8.0,fail,3.0,20.0
1936,15.0,12.0,7.0,10.0,fail,14.0,10.0
1937,16.0,13.0,11.0,7.0,succeed,11.0,17.0
1938,13.0,14.0,20.0,6.0,succeed,13.0,7.0
1939,9.0,13.0,13.0,10.0,succeed,14.0,7.0
1940,12.0,16.0,16.0,4.0,succeed,6.0,12.0
1941,11.0,13.0,15.0,4.0,succeed,6.0,15.0
1942,12.0,10.0,10.0,14.0,fail,12.0,5.0
1943,17.0,11.0,12.0,16.0,succeed,7.0,15.0
1944,15.0,10.0,12.0,14.0,fail,4.0,8.0
1945,4.0,11.0,5.0,13.0,fail,13.0,18.0
1946,16.0,10.0,3.0,18.0,succeed,9.0,7.0
1947,4.0,14.0,18.0,6.0,succeed,9.0,17.0
1948,19.0,14.0,13.0,19.0,succeed,13.0,12.0
1949,20.0,13.0,19.0,13.0,succeed,10.0,6.0
1950,15.0,12.0,9.0,11.0,succeed,10.0,12.0
1951,18.0,15.0,14.0,18.0,succeed,9.0,8.0
1952,11.0,16.0,12.0,13.0,succeed,11.0,16.0
1953,16.0,10.0,8.0,12.0,fail,7.0,13.0
1954,10.0,17.0,13.0,16.0,succeed,14.0,2.0
1955,19.0,14.0,8.0,7.0,succeed,10.0,9.0
1956,8.0,12.0,12.0,8.0,succeed,10.0,15.0
1957,17.0,13.0,9.0,14.0,succeed,18.0,15.0
1958,8.0,10.0,17.0,19.0,succeed,11.0,15.0
1959,15.0,9.0,12.0,14.0,succeed,17.0,13.0
1960,16.0,6.0,6.0,14.0,fail,12.0,6.0
1961,9.0,15.0,18.0,15.0,succeed,6.0,5.0
1962,16.0,17.0,15.0,11.0,succeed,15.0,19.0
1963,13.0,16.0,16.0,6.0,succeed,12.0,7.0
1964,18.0,12.0,11.0,12.0,succeed,6.0,15.0
1965,11.0,13.0,11.0,3.0,fail,11.0,14.0
1966,14.0,14.0,3.0,11.0,succeed,7.0,14.0
1967,6.0,18.0,6.0,16.0,succeed,8.0,7.0
1968,14.0,18.0,7.0,18.0,succeed,14.0,9.0
1969,16.0,18.0,8.0,14.0,succeed,16.0,12.0
1970,11.0,18.0,7.0,8.0,succeed,16.0,18.0
1971,16.0,18.0,19.0,17.0,fail,17.0,5.0
1972,6.0,9.0,12.0,17.0,fail,13.0,5.0
1973,12.0,12.0,15.0,8.0,fail,4.0,10.0
1974,11.0,19.0,14.0,14.0,succeed,14.0,4.0
1975,16.0,12.0,11.0,10.0,succeed,18.0,13.0
1976,9.0,17.0,13.0,12.0,succeed,15.0,18.0
1977,8.0,9.0,8.0,16.0,succeed,17.0,14.0
1978,17.0,3.0,8.0,10.0,fail,8.0,15.0
1979,11.0,15.0,10.0,8.0,succeed,13.0,8.0
1980,15.0,9.0,6.0,17.0,succeed,10.0,11.0
1981,5.0,14.0,15.0,12.0,succeed,6.0,9.0
1982,13.0,9.0,11.0,7.0,succeed,7.0,14.0
1983,4.0,6.0,10.0,13.0,succeed,16.0,15.0
1984,5.0,18.0,19.0,7.0,fail,15.0,12.0
1985,9.0,18.0,18.0,20.0,succeed,7.0,16.0
1986,6.0,11.0,13.0,11.0,succeed,11.0,12.0
1987,16.0,12.0,12.0,5.0,fail,12.0,17.0
1988,12.0,11.0,9.0,16.0,succeed,10.0,10.0
1989,10.0,18.0,7.0,10.0,succeed,14.0,8.0
1990,3.0,13.0,9.0,16.0,succeed,8.0,11.0
1991,14.0,9.0,14.0,11.0,succeed,17.0,8.0
1992,15.0,16.0,14.0,9.0,fail,6.0,9.0
1993,5.0,17.0,6.0,14.0,fail,15.0,10.0
1994,10.0,11.0,13.0,16.0,succeed,12.0,13.0
1995,9.0,9.0,10.0,11.0,succeed,9.0,18.0
1996,14.0,11.0,14.0,13.0,fail,12.0,11.0
1997,7.0,13.0,10.0,13.0,succeed,17.0,13.0
1998,13.0,10.0,16.0,12.0,succeed,14.0,7.0
1999,10.0,6.0,10.0,14.0,succeed,10.0,16.0
2000,11.0,11.0,15.0,16.0,succeed,7.0,13.0
2001,13.0,12.0,9.0,11.0,fail,12.0,8.0
2002,11.0,15.0,5.0,8.0,succeed,9.0,14.0
2003,10.0,7.0,8.0,8.0,succeed,15.0,20.0
2004,7.0,13.0,10.0,18.0,fail,5.0,8.0
2005,11.0,15.0,17.0,11.0,succeed,14.0,15.0
2006,11.0,11.0,18.0,14.0,succeed,18.0,11.0
2007,14.0,7.0,18.0,10.0,succeed,6.0,13.0
2008,11.0,9.0,9.0,15.0,succeed,18.0,12.0
2009,13.0,11.0,5.0,12.0,succeed,10.0,17.0
2010,8.0,7.0,14.0,11.0,fail,13.0,7.0
2011,7.0,8.0,12.0,14.0,fail,11.0,9.0
2012,9.0,16.0,4.0,9.0,succeed,14.0,12.0
2013,16.0,12.0,7.0,8.0,succeed,13.0,5.0
2014,6.0,6.0,8.0,10.0,succeed,18.0,13.0
2015,10.0,12.0,14.0,4.0,succeed,16.0,14.0
2016,14.0,11.0,12.0,14.0,fail,12.0,7.0
2017,8.0,11.0,16.0,10.0,succeed,8.0,19.0
2018,12.0,14.0,8.0,14.0,succeed,8.0,10.0
2019,11.0,15.0,12.0,13.0,succeed,11.0,12.0
2020,8.0,11.0,14.0,16.0,fail,7.0,11.0
2021,10.0,6.0,12.0,13.0,fail,8.0,14.0
2022,14.0,13.0,10.0,15.0,succeed,12.0,8.0
2023,8.0,12.0,10.0,17.0,succeed,10.0,13.0
2024,11.0,8.0,5.0,11.0,succeed,20.0,11.0
2025,8.0,9.0,15.0,10.0,succeed,10.0,15.0
2026,10.0,11.0,17.0,13.0,succeed,5.0,14.0
2027,11.0,8.0,16.0,14.0,fail,16.0,9.0
2028,9.0,11.0,9.0,9.0,succeed,16.0,9.0
2029,12.0,12.0,19.0,9.0,succeed,12.0,8.0
2030,13.0,11.0,14.0,14.0,succeed,14.0,11.0
2031,9.0,8.0,19.0,9.0,succeed,6.0,16.0
2032,15.0,17.0,15.0,10.0,succeed,12.0,7.0
2033,17.0,15.0,16.0,8.0,succeed,15.0,7.0
2034,7.0,13.0,14.0,11.0,fail,12.0,11.0
2035,12.0,13.0,11.0,5.0,fail,10.0,11.0
2036,8.0,11.0,16.0,15.0,succeed,16.0,14.0
2037,12.0,16.0,10.0,12.0,succeed,10.0,9.0
2038,14.0,20.0,14.0,9.0,succeed,5.0,11.0
2039,16.0,16.0,11.0,12.0,fail,8.0,5.0
2040,12.0,9.0,11.0,17.0,succeed,14.0,14.0
2041,16.0,8.0,12.0,15.0,succeed,11.0,5.0
2042,16.0,12.0,8.0,16.0,succeed,5.0,15.0
2043,12.0,15.0,8.0,9.0,succeed,18.0,11.0
2044,10.0,14.0,19.0,12.0,fail,7.0,5.0
2045,16.0,12.0,5.0,12.0,succeed,16.0,2.0
2046,11.0,13.0,12.0,7.0,succeed,10.0,11.0
2047,14.0,9.0,19.0,11.0,fail,7.0,11.0
2048,10.0,13.0,7.0,16.0,succeed,14.0,6.0
2049,13.0,11.0,9.0,11.0,fail,12.0,6.0
2050,9.0,8.0,17.0,13.0,succeed,11.0,11.0
2051,11.0,8.0,12.0,19.0,fail,10.0,7.0
2052,9.0,19.0,15.0,11.0,fail,5.0,15.0
2053,7.0,8.0,19.0,6.0,fail,11.0,13.0
2054,10.0,5.0,10.0,14.0,fail,12.0,12.0
2055,7.0,11.0,14.0,9.0,fail,13.0,10.0
2056,15.0,13.0,19.0,8.0,succeed,18.0,10.0
2057,4.0,10.0,11.0,17.0,succeed,9.0,14.0
2058,11.0,9.0,11.0,6.0,fail,16.0,9.0
2059,4.0,19.0,9.0,10.0,fail,11.0,16.0
2060,12.0,11.0,17.0,16.0,succeed,9.0,5.0
2061,18.0,14.0,19.0,13.0,succeed,12.0,5.0
2062,9.0,15.0,19.0,12.0,succeed,15.0,16.0
2063,4.0,9.0,19.0,14.0,fail,15.0,13.0
2064,10.0,14.0,20.0,11.0,succeed,12.0,14.0
2065,14.0,3.0,18.0,16.0,succeed,12.0,9.0
2066,9.0,14.0,20.0,9.0,succeed,19.0,15.0
2067,14.0,16.0,7.0,13.0,succeed,13.0,16.0
2068,14.0,9.0,9.0,12.0,succeed,12.0,14.0
2069,11.0,10.0,10.0,16.0,succeed,10.0,13.0
2070,8.0,5.0,12.0,16.0,fail,5.0,14.0
2071,11.0,10.0,8.0,4.0,succeed,13.0,18.0
2072,10.0,16.0,16.0,16.0,succeed,5.0,5.0
2073,7.0,11.0,17.0,11.0,fail,6.0,14.0
2074,7.0,12.0,16.0,6.0,succeed,14.0,12.0
2075,11.0,15.0,17.0,18.0,succeed,5.0,9.0
2076,16.0,19.0,14.0,8.0,succeed,5.0,13.0
2077,16.0,12.0,9.0,14.0,fail,14.0,12.0
2078,11.0,10.0,13.0,15.0,succeed,7.0,14.0
2079,11.0,15.0,14.0,10.0,succeed,11.0,7.0
2080,15.0,14.0,9.0,14.0,fail,17.0,16.0
2081,10.0,10.0,13.0,9.0,fail,11.0,10.0
2082,11.0,10.0,15.0,8.0,fail,15.0,10.0
2083,12.0,4.0,19.0,13.0,succeed,18.0,6.0
2084,6.0,14.0,14.0,13.0,succeed,15.0,16.0
2085,12.0,14.0,10.0,14.0,succeed,14.0,15.0
2086,11.0,16.0,8.0,7.0,fail,10.0,9.0
2087,10.0,19.0,9.0,15.0,fail,11.0,5.0
2088,9.0,17.0,7.0,11.0,succeed,15.0,10.0
2089,12.0,14.0,3.0,10.0,fail,15.0,12.0
2090,12.0,9.0,9.0,11.0,succeed,12.0,10.0
2091,18.0,15.0,10.0,12.0,succeed,16.0,11.0
2092,12.0,11.0,10.0,8.0,succeed,13.0,14.0
2093,17.0,12.0,7.0,15.0,succeed,15.0,8.0
2094,8.0,13.0,11.0,16.0,succeed,11.0,16.0
2095,8.0,8.0,9.0,15.0,succeed,14.0,15.0
2096,11.0,12.0,8.0,9.0,succeed,9.0,12.0
2097,12.0,6.0,13.0,16.0,succeed,4.0,15.0
2098,3.0,14.0,13.0,8.0,fail,12.0,12.0
2099,17.0,7.0,18.0,18.0,succeed,14.0,7.0
2100,20.0,15.0,7.0,15.0,succeed,4.0,13.0
2101,11.0,6.0,10.0,18.0,succeed,12.0,12.0
2102,8.0,10.0,10.0,12.0,fail,14.0,11.0
2103,19.0,11.0,16.0,2.0,succeed,7.0,11.0
2104,12.0,10.0,10.0,7.0,succeed,16.0,11.0
2105,11.0,13.0,11.0,9.0,succeed,10.0,9.0
2106,12.0,17.0,7.0,10.0,fail,19.0,6.0
2107,7.0,16.0,16.0,10.0,succeed,19.0,12.0
2108,11.0,7.0,17.0,11.0,fail,6.0,12.0
2109,7.0,16.0,13.0,16.0,fail,12.0,13.0
2110,10.0,14.0,12.0,18.0,succeed,7.0,14.0
2111,17.0,10.0,5.0,11.0,succeed,15.0,14.0
2112,18.0,13.0,9.0,7.0,succeed,12.0,13.0
2113,14.0,10.0,14.0,7.0,succeed,10.0,8.0
2114,13.0,9.0,19.0,9.0,succeed,7.0,14.0
2115,13.0,11.0,6.0,16.0,succeed,8.0,8.0
2116,13.0,13.0,10.0,10.0,succeed,15.0,13.0
2117,13.0,10.0,9.0,11.0,fail,9.0,8.0
2118,11.0,13.0,12.0,12.0,fail,10.0,9.0
2119,18.0,14.0,9.0,15.0,succeed,11.0,19.0
2120,12.0,12.0,12.0,13.0,fail,13.0,7.0
2121,8.0,11.0,14.0,14.0,fail,5.0,8.0
2122,5.0,14.0,5.0,11.0,succeed,7.0,19.0
2123,12.0,10.0,14.0,9.0,succeed,20.0,5.0
2124,15.0,15.0,9.0,7.0,fail,6.0,8.0
2125,10.0,13.0,10.0,7.0,succeed,10.0,14.0
2126,7.0,18.0,18.0,4.0,fail,2.0,18.0
2127,19.0,13.0,11.0,15.0,succeed,12.0,7.0
2128,9.0,9.0,11.0,15.0,fail,13.0,9.0
2129,17.0,19.0,10.0,15.0,succeed,12.0,7.0
2130,11.0,9.0,13.0,9.0,succeed,19.0,12.0
2131,5.0,12.0,11.0,19.0,succeed,8.0,8.0
2132,12.0,10.0,17.0,3.0,fail,11.0,11.0
2133,10.0,9.0,20.0,5.0,fail,20.0,5.0
2134,12.0,12.0,11.0,11.0,succeed,15.0,11.0
2135,15.0,14.0,9.0,12.0,succeed,13.0,15.0
2136,3.0,15.0,12.0,12.0,fail,10.0,10.0
2137,16.0,11.0,16.0,7.0,succeed,15.0,10.0
2138,16.0,4.0,13.0,19.0,succeed,8.0,8.0
2139,16.0,15.0,19.0,10.0,succeed,6.0,11.0
2140,14.0,12.0,12.0,13.0,succeed,16.0,12.0
2141,11.0,15.0,11.0,11.0,fail,12.0,7.0
2142,2.0,13.0,18.0,16.0,succeed,9.0,11.0
2143,11.0,14.0,15.0,9.0,fail,16.0,15.0
2144,10.0,4.0,20.0,7.0,succeed,14.0,11.0
2145,16.0,9.0,15.0,12.0,succeed,12.0,17.0
2146,11.0,12.0,10.0,15.0,fail,9.0,6.0
2147,15.0,15.0,14.0,7.0,fail,4.0,10.0
2148,10.0,6.0,9.0,8.0,succeed,10.0,17.0
2149,16.0,9.0,13.0,15.0,succeed,8.0,8.0
2150,13.0,14.0,10.0,8.0,fail,19.0,5.0
2151,10.0,12.0,13.0,11.0,fail,4.0,11.0
2152,10.0,12.0,12.0,17.0,succeed,11.0,8.0
2153,13.0,9.0,18.0,7.0,succeed,11.0,12.0
2154,20.0,6.0,6.0,7.0,succeed,13.0,10.0
2155,18.0,8.0,12.0,5.0,succeed,16.0,4.0
2156,7.0,14.0,4.0,19.0,succeed,4.0,14.0
2157,12.0,12.0,17.0,13.0,succeed,10.0,8.0
2158,11.0,10.0,19.0,18.0,succeed,9.0,5.0
2159,16.0,13.0,5.0,11.0,succeed,14.0,11.0
2160,19.0,14.0,17.0,12.0,succeed,12.0,7.0
2161,14.0,14.0,11.0,13.0,fail,16.0,12.0
2162,15.0,9.0,8.0,14.0,succeed,16.0,10.0
2163,10.0,12.0,9.0,12.0,fail,8.0,9.0
2164,16.0,7.0,9.0,16.0,succeed,20.0,12.0
2165,7.0,8.0,13.0,17.0,succeed,5.0,18.0
2166,9.0,20.0,16.0,6.0,fail,14.0,15.0
2167,8.0,11.0,11.0,14.0,fail,10.0,8.0
2168,17.0,14.0,14.0,14.0,succeed,14.0,8.0
2169,11.0,20.0,11.0,8.0,fail,14.0,11.0
2170,8.0,14.0,9.0,12.0,fail,12.0,6.0
2171,10.0,12.0,12.0,8.0,fail,10.0,9.0
2172,10.0,17.0,8.0,10.0,fail,5.0,19.0
2173,17.0,9.0,10.0,15.0,succeed,15.0,10.0
2174,16.0,12.0,13.0,13.0,succeed,7.0,15.0
2175,15.0,18.0,2.0,15.0,succeed,4.0,14.0
2176,17.0,15.0,8.0,12.0,succeed,14.0,8.0
2177,14.0,15.0,9.0,17.0,fail,11.0,7.0
2178,15.0,7.0,14.0,14.0,fail,11.0,14.0
2179,9.0,17.0,14.0,10.0,fail,11.0,4.0
2180,10.0,18.0,18.0,5.0,succeed,8.0,10.0
2181,16.0,11.0,15.0,14.0,fail,11.0,9.0
2182,15.0,13.0,9.0,12.0,succeed,18.0,12.0
2183,8.0,7.0,14.0,15.0,fail,13.0,12.0
2184,11.0,10.0,14.0,14.0,succeed,20.0,16.0
2185,4.0,14.0,19.0,12.0,fail,9.0,9.0
2186,12.0,11.0,9.0,13.0,succeed,8.0,14.0
2187,12.0,10.0,5.0,17.0,succeed,13.0,7.0
2188,11.0,16.0,5.0,7.0,succeed,10.0,12.0
2189,14.0,7.0,10.0,15.0,succeed,12.0,6.0
2190,9.0,9.0,11.0,11.0,succeed,6.0,16.0
2191,13.0,10.0,12.0,14.0,succeed,17.0,4.0
2192,13.0,6.0,17.0,8.0,fail,11.0,7.0
2193,15.0,9.0,15.0,5.0,succeed,16.0,7.0
2194,17.0,16.0,6.0,9.0,succeed,15.0,10.0
2195,14.0,9.0,12.0,8.0,succeed,14.0,13.0
2196,10.0,11.0,9.0,17.0,fail,10.0,13.0
2197,6.0,13.0,10.0,11.0,succeed,15.0,15.0
2198,11.0,16.0,12.0,17.0,succeed,6.0,15.0
2199,8.0,12.0,9.0,20.0,succeed,15.0,9.0
2200,11.0,7.0,12.0,10.0,fail,9.0,11.0
2201,6.0,15.0,7.0,16.0,fail,18.0,12.0
2202,11.0,11.0,6.0,14.0,succeed,14.0,15.0
2203,17.0,14.0,7.0,16.0,succeed,18.0,19.0
2204,14.0,17.0,7.0,16.0,succeed,13.0,9.0
2205,16.0,12.0,10.0,15.0,succeed,14.0,6.0
2206,16.0,7.0,11.0,10.0,succeed,11.0,14.0
2207,13.0,8.0,8.0,8.0,succeed,15.0,14.0
2208,10.0,18.0,15.0,14.0,succeed,13.0,17.0
2209,7.0,17.0,5.0,16.0,succeed,12.0,12.0
2210,18.0,11.0,5.0,15.0,succeed,18.0,11.0
2211,7.0,13.0,14.0,12.0,fail,11.0,6.0
2212,18.0,12.0,11.0,15.0,succeed,7.0,15.0
2213,8.0,20.0,12.0,4.0,fail,9.0,12.0
2214,11.0,9.0,10.0,15.0,succeed,11.0,12.0
2215,17.0,12.0,19.0,14.0,succeed,10.0,12.0
