,cha,con,dex,int,str,wis,result
1694,11,13,12,10,12,10,succeed
1695,15,15,6,13,14,12,fail
1696,5,12,12,2,15,18,succeed
1697,3,15,13,9,11,10,succeed
1698,19,5,10,6,11,11,succeed
1699,12,13,7,8,16,16,succeed
1700,7,17,6,13,14,7,succeed
1701,15,5,7,11,14,15,succeed
1702,18,15,11,8,13,16,succeed
1703,8,14,13,13,8,5,fail
1704,18,16,6,10,12,16,succeed
1705,13,11,11,12,10,7,fail
1706,14,8,12,10,16,12,succeed
1707,14,12,10,18,8,11,succeed
1708,8,9,16,16,15,10,succeed
1709,16,9,10,16,18,8,succeed
1710,5,10,20,10,7,14,succeed
1711,12,17,16,15,14,18,succeed
1712,20,14,14,17,12,13,succeed
1713,10,10,17,8,16,11,succeed
1714,10,19,13,13,16,11,succeed
1715,8,10,12,11,4,18,succeed
1716,10,10,13,11,16,9,succeed
1717,16,8,12,9,6,13,succeed
1718,6,9,12,15,7,13,fail
1719,13,8,7,9,13,13,fail
1720,16,19,19,15,15,13,succeed
1721,12,10,10,5,13,13,fail
1722,6,16,4,13,17,9,succeed
1723,4,9,16,16,11,12,succeed
1724,13,10,19,10,16,5,succeed
1725,11,8,19,13,8,14,succeed
1726,19,11,15,11,15,9,fail
1727,14,6,11,9,12,19,succeed
1728,11,6,12,16,11,14,fail
1729,16,10,10,11,8,9,fail
1730,10,8,8,8,15,12,succeed
1731,11,6,12,17,3,14,fail
1732,12,11,11,11,16,12,succeed
1733,8,18,9,15,13,8,succeed
1734,12,16,18,12,10,12,succeed
1735,12,14,3,14,6,15,fail
1736,9,4,11,11,20,9,succeed
1737,17,10,11,8,6,8,succeed
1738,13,11,9,8,12,11,fail
1739,16,12,8,9,14,8,succeed
1740,16,19,12,9,10,6,succeed
1741,18,12,14,17,16,9,fail
1742,7,14,6,5,14,14,fail
1743,11,8,14,17,13,15,succeed
1744,13,15,10,3,14,7,succeed
1745,8,6,15,12,9,17,fail
1746,5,3,15,17,12,14,fail
1747,10,16,16,13,16,14,succeed
1748,13,3,16,19,11,8,fail
1749,5,4,16,7,15,18,succeed
1750,15,7,17,9,9,8,fail
1751,11,7,16,10,13,12,fail
1752,19,7,8,11,9,19,succeed
1753,8,6,8,20,13,6,fail
1754,15,11,9,13,15,6,succeed
1755,17,10,9,12,16,12,succeed
1756,17,4,12,16,7,8,fail
1757,9,17,15,9,7,12,succeed
1758,10,10,9,13,7,16,fail
1759,9,8,14,14,12,6,succeed
1760,14,17,8,10,3,13,succeed
1761,11,17,10,10,15,6,fail
1762,12,14,9,11,16,14,succeed
1763,16,14,16,12,9,13,fail
1764,12,16,5,15,8,13,succeed
1765,7,5,12,11,20,7,succeed
1766,11,17,16,6,9,5,fail
1767,17,11,13,6,16,2,fail
1768,15,13,10,15,8,8,succeed
1769,6,5,7,18,14,14,fail
1770,15,19,14,11,9,13,succeed
1771,11,12,13,3,16,17,succeed
1772,18,19,6,3,6,8,succeed
1773,14,12,12,14,10,9,fail
1774,9,12,19,12,16,14,succeed
1775,12,5,12,4,10,18,fail
1776,9,9,11,11,11,12,fail
1777,16,12,20,17,11,7,succeed
1778,18,12,13,9,15,8,fail
1779,18,11,8,11,13,6,succeed
1780,11,10,13,14,17,9,fail
1781,11,20,17,17,11,15,succeed
1782,3,9,9,14,19,9,fail
1783,11,9,9,9,13,11,fail
1784,10,7,14,14,4,17,succeed
1785,17,7,10,5,12,10,fail
1786,11,10,6,19,8,12,succeed
1787,13,15,12,5,9,17,succeed
1788,8,8,11,10,9,15,succeed
1789,17,10,11,11,11,9,fail
1790,10,13,17,6,15,11,fail
1791,17,13,18,9,7,12,succeed
1792,17,6,11,12,13,18,succeed
1793,12,5,12,10,11,11,fail
1794,11,13,10,14,10,11,succeed
1795,18,11,4,14,9,9,succeed
1796,14,12,18,7,11,12,succeed
1797,7,10,16,4,16,10,fail
1798,13,17,15,8,10,6,succeed
1799,6,8,15,6,16,16,succeed
1800,14,11,7,12,14,18,succeed
1801,17,13,13,10,15,15,succeed
1802,16,11,14,18,8,12,succeed
1803,18,15,17,10,6,2,succeed
1804,16,15,10,11,7,10,succeed
1805,10,14,17,6,16,17,fail
1806,13,17,8,13,14,15,succeed
1807,18,9,5,11,19,15,succeed
1808,11,10,9,15,15,6,succeed
1809,8,19,10,10,7,8,succeed
1810,15,10,19,13,12,10,succeed
1811,10,19,10,16,19,7,fail
1812,11,8,14,13,15,15,succeed
1813,10,16,15,16,12,19,fail
1814,6,14,14,4,9,18,fail
1815,11,14,13,6,4,16,fail
1816,19,15,6,11,13,18,succeed
1817,10,10,17,7,5,18,succeed
1818,12,7,11,10,14,18,succeed
1819,7,10,12,18,17,11,succeed
1820,10,10,13,14,11,5,fail
1821,12,3,17,5,12,11,fail
1822,13,5,12,18,6,11,fail
1823,11,17,12,9,18,9,succeed
1824,18,11,11,8,8,9,succeed
1825,8,6,14,16,15,9,succeed
1826,11,14,10,11,7,16,fail
1827,11,17,4,13,11,11,succeed
1828,6,11,11,13,6,16,fail
1829,11,9,13,12,17,13,succeed
1830,18,14,10,9,16,15,succeed
1831,11,10,12,6,13,12,fail
1832,9,13,14,15,10,9,fail
1833,15,13,14,8,18,13,fail
1834,15,18,9,14,16,10,succeed
1835,3,11,7,18,17,5,succeed
1836,8,7,6,17,15,14,succeed
1837,12,14,9,17,5,9,succeed
1838,19,5,12,9,12,17,succeed
1839,10,5,15,16,15,10,fail
1840,12,14,11,4,13,7,succeed
1841,12,8,4,10,14,16,fail
1842,8,17,10,15,5,17,fail
1843,5,9,18,6,14,13,succeed
1844,19,14,12,15,11,8,succeed
1845,7,6,10,7,13,17,fail
1846,9,8,4,12,19,12,succeed
1847,12,5,6,10,14,14,fail
1848,16,9,14,15,7,9,succeed
1849,16,14,15,8,9,10,succeed
1850,16,15,15,15,8,7,fail
1851,14,8,15,9,13,8,succeed
1852,14,17,15,14,10,9,succeed
1853,15,7,4,8,14,16,fail
1854,12,13,7,13,8,18,succeed
1855,5,13,6,11,17,12,succeed
1856,14,14,14,14,10,8,fail
1857,8,18,14,12,16,4,succeed
1858,18,20,8,7,18,6,succeed
1859,16,14,16,4,17,6,fail
1860,13,13,10,18,11,12,fail
1861,12,10,12,13,13,19,succeed
1862,12,10,11,12,3,18,succeed
1863,9,17,11,13,7,13,fail
1864,10,13,7,17,10,12,succeed
1865,10,8,17,6,9,18,succeed
1866,8,12,7,11,15,19,succeed
1867,11,14,9,13,5,12,succeed
1868,17,15,6,12,15,12,succeed
1869,10,14,6,10,19,19,succeed
1870,4,19,13,15,15,15,fail
1871,15,19,11,17,12,16,succeed
1872,13,12,8,11,12,8,succeed
1873,9,18,12,15,16,10,succeed
1874,16,13,5,13,14,7,fail
1875,11,15,15,9,15,18,succeed
1876,10,12,14,10,9,17,succeed
1877,20,12,3,14,15,15,succeed
1878,7,13,12,18,9,4,fail
1879,16,5,11,14,18,14,succeed
1880,5,5,11,14,15,12,succeed
1881,9,17,17,15,5,8,succeed
1882,4,15,17,19,9,17,fail
1883,9,10,7,10,14,13,succeed
1884,16,8,8,5,16,14,succeed
1885,18,12,7,14,9,6,succeed
1886,7,12,13,15,13,16,fail
1887,17,10,11,9,12,16,succeed
1888,16,10,16,11,15,14,succeed
1889,11,9,7,19,9,12,succeed
1890,14,16,5,18,9,8,succeed
1891,10,11,15,12,17,18,succeed
1892,13,14,9,7,13,10,fail
1893,11,7,17,17,17,19,succeed
1894,7,18,13,10,11,12,succeed
1895,16,6,7,15,13,7,succeed
1896,13,16,5,10,11,18,succeed
1897,11,20,11,13,10,11,succeed
1898,13,7,17,15,13,12,fail
1899,8,8,18,15,7,11,fail
1900,10,17,11,4,13,18,fail
1901,11,15,7,15,8,13,succeed
1902,13,13,8,8,12,12,succeed
1903,13,15,15,14,13,13,succeed
1904,13,8,16,15,9,11,succeed
1905,11,9,18,12,12,5,fail
1906,12,7,15,12,10,6,fail
1907,14,15,19,8,12,8,succeed
1908,16,9,4,11,9,14,succeed
1909,12,13,6,12,16,12,succeed
1910,7,10,16,11,15,6,fail
1911,11,12,15,14,16,6,succeed
1912,10,9,13,12,12,12,succeed
1913,17,16,6,10,7,13,succeed
1914,10,15,14,10,11,13,succeed
1915,11,14,7,11,10,16,succeed
1916,9,8,11,14,12,9,succeed
1917,7,15,14,9,13,11,fail
1918,13,11,5,14,9,15,succeed
1919,15,12,6,11,11,14,succeed
1920,11,19,11,5,9,15,succeed
1921,10,9,12,19,14,7,succeed
1922,12,11,14,16,5,11,fail
1923,13,16,16,16,7,14,succeed
1924,14,15,8,3,11,12,succeed
1925,10,12,12,11,11,17,succeed
1926,18,16,13,11,11,6,succeed
1927,11,15,12,15,9,16,fail
1928,9,9,7,3,19,17,fail
1929,15,10,9,5,19,7,fail
1930,18,13,11,15,11,4,fail
1931,12,10,16,7,11,8,fail
1932,5,12,15,9,12,7,fail
1933,12,4,15,20,20,8,succeed
1934,12,10,14,5,14,12,fail
1935,9,16,4,8,3,20,fail
1936,15,12,7,10,14,10,fail
1937,16,13,11,7,11,17,succeed
1938,13,14,20,6,13,7,succeed
1939,9,13,13,10,14,7,succeed
1940,12,16,16,4,6,12,succeed
1941,11,13,15,4,6,15,succeed
1942,12,10,10,14,12,5,fail
1943,17,11,12,16,7,15,succeed
1944,15,10,12,14,4,8,fail
1945,4,11,5,13,13,18,fail
1946,16,10,3,18,9,7,succeed
1947,4,14,18,6,9,17,succeed
1948,19,14,13,19,13,12,succeed
1949,20,13,19,13,10,6,succeed
1950,15,12,9,11,10,12,succeed
1951,18,15,14,18,9,8,succeed
1952,11,16,12,13,11,16,succeed
1953,16,10,8,12,7,13,fail
1954,10,17,13,16,14,2,succeed
1955,19,14,8,7,10,9,succeed
1956,8,12,12,8,10,15,succeed
1957,17,13,9,14,18,15,succeed
1958,8,10,17,19,11,15,succeed
1959,15,9,12,14,17,13,succeed
1960,16,6,6,14,12,6,fail
1961,9,15,18,15,6,5,succeed
1962,16,17,15,11,15,19,succeed
1963,13,16,16,6,12,7,succeed
1964,18,12,11,12,6,15,succeed
1965,11,13,11,3,11,14,fail
1966,14,14,3,11,7,14,succeed
1967,6,18,6,16,8,7,succeed
1968,14,18,7,18,14,9,succeed
1969,16,18,8,14,16,12,succeed
1970,11,18,7,8,16,18,succeed
1971,16,18,19,17,17,5,fail
1972,6,9,12,17,13,5,fail
1973,12,12,15,8,4,10,fail
1974,11,19,14,14,14,4,succeed
1975,16,12,11,10,18,13,succeed
1976,9,17,13,12,15,18,succeed
1977,8,9,8,16,17,14,succeed
1978,17,3,8,10,8,15,fail
1979,11,15,10,8,13,8,succeed
1980,15,9,6,17,10,11,succeed
1981,5,14,15,12,6,9,succeed
1982,13,9,11,7,7,14,succeed
1983,4,6,10,13,16,15,succeed
1984,5,18,19,7,15,12,fail
1985,9,18,18,20,7,16,succeed
1986,6,11,13,11,11,12,succeed
1987,16,12,12,5,12,17,fail
1988,12,11,9,16,10,10,succeed
1989,10,18,7,10,14,8,succeed
1990,3,13,9,16,8,11,succeed
1991,14,9,14,11,17,8,succeed
1992,15,16,14,9,6,9,fail
1993,5,17,6,14,15,10,fail
1994,10,11,13,16,12,13,succeed
1995,9,9,10,11,9,18,succeed
1996,14,11,14,13,12,11,fail
1997,7,13,10,13,17,13,succeed
1998,13,10,16,12,14,7,succeed
1999,10,6,10,14,10,16,succeed
2000,11,11,15,16,7,13,succeed
2001,13,12,9,11,12,8,fail
2002,11,15,5,8,9,14,succeed
2003,10,7,8,8,15,20,succeed
2004,7,13,10,18,5,8,fail
2005,11,15,17,11,14,15,succeed
2006,11,11,18,14,18,11,succeed
2007,14,7,18,10,6,13,succeed
2008,11,9,9,15,18,12,succeed
2009,13,11,5,12,10,17,succeed
2010,8,7,14,11,13,7,fail
2011,7,8,12,14,11,9,fail
2012,9,16,4,9,14,12,succeed
2013,16,12,7,8,13,5,succeed
2014,6,6,8,10,18,13,succeed
2015,10,12,14,4,16,14,succeed
2016,14,11,12,14,12,7,fail
2017,8,11,16,10,8,19,succeed
2018,12,14,8,14,8,10,succeed
2019,11,15,12,13,11,12,succeed
2020,8,11,14,16,7,11,fail
2021,10,6,12,13,8,14,fail
2022,14,13,10,15,12,8,succeed
2023,8,12,10,17,10,13,succeed
2024,11,8,5,11,20,11,succeed
2025,8,9,15,10,10,15,succeed
2026,10,11,17,13,5,14,succeed
2027,11,8,16,14,16,9,fail
2028,9,11,9,9,16,9,succeed
2029,12,12,19,9,12,8,succeed
2030,13,11,14,14,14,11,succeed
2031,9,8,19,9,6,16,succeed
2032,15,17,15,10,12,7,succeed
2033,17,15,16,8,15,7,succeed
2034,7,13,14,11,12,11,fail
2035,12,13,11,5,10,11,fail
2036,8,11,16,15,16,14,succeed
2037,12,16,10,12,10,9,succeed
2038,14,20,14,9,5,11,succeed
2039,16,16,11,12,8,5,fail
2040,12,9,11,17,14,14,succeed
2041,16,8,12,15,11,5,succeed
2042,16,12,8,16,5,15,succeed
2043,12,15,8,9,18,11,succeed
2044,10,14,19,12,7,5,fail
2045,16,12,5,12,16,2,succeed
2046,11,13,12,7,10,11,succeed
2047,14,9,19,11,7,11,fail
2048,10,13,7,16,14,6,succeed
2049,13,11,9,11,12,6,fail
2050,9,8,17,13,11,11,succeed
2051,11,8,12,19,10,7,fail
2052,9,19,15,11,5,15,fail
2053,7,8,19,6,11,13,fail
2054,10,5,10,14,12,12,fail
2055,7,11,14,9,13,10,fail
2056,15,13,19,8,18,10,succeed
2057,4,10,11,17,9,14,succeed
2058,11,9,11,6,16,9,fail
2059,4,19,9,10,11,16,fail
2060,12,11,17,16,9,5,succeed
2061,18,14,19,13,12,5,succeed
2062,9,15,19,12,15,16,succeed
2063,4,9,19,14,15,13,fail
2064,10,14,20,11,12,14,succeed
2065,14,3,18,16,12,9,succeed
2066,9,14,20,9,19,15,succeed
2067,14,16,7,13,13,16,succeed
2068,14,9,9,12,12,14,succeed
2069,11,10,10,16,10,13,succeed
2070,8,5,12,16,5,14,fail
2071,11,10,8,4,13,18,succeed
2072,10,16,16,16,5,5,succeed
2073,7,11,17,11,6,14,fail
2074,7,12,16,6,14,12,succeed
2075,11,15,17,18,5,9,succeed
2076,16,19,14,8,5,13,succeed
2077,16,12,9,14,14,12,fail
2078,11,10,13,15,7,14,succeed
2079,11,15,14,10,11,7,succeed
2080,15,14,9,14,17,16,fail
2081,10,10,13,9,11,10,fail
2082,11,10,15,8,15,10,fail
2083,12,4,19,13,18,6,succeed
2084,6,14,14,13,15,16,succeed
2085,12,14,10,14,14,15,succeed
2086,11,16,8,7,10,9,fail
2087,10,19,9,15,11,5,fail
2088,9,17,7,11,15,10,succeed
2089,12,14,3,10,15,12,fail
2090,12,9,9,11,12,10,succeed
2091,18,15,10,12,16,11,succeed
2092,12,11,10,8,13,14,succeed
2093,17,12,7,15,15,8,succeed
2094,8,13,11,16,11,16,succeed
2095,8,8,9,15,14,15,succeed
2096,11,12,8,9,9,12,succeed
2097,12,6,13,16,4,15,succeed
2098,3,14,13,8,12,12,fail
2099,17,7,18,18,14,7,succeed
2100,20,15,7,15,4,13,succeed
2101,11,6,10,18,12,12,succeed
2102,8,10,10,12,14,11,fail
2103,19,11,16,2,7,11,succeed
2104,12,10,10,7,16,11,succeed
2105,11,13,11,9,10,9,succeed
2106,12,17,7,10,19,6,fail
2107,7,16,16,10,19,12,succeed
2108,11,7,17,11,6,12,fail
2109,7,16,13,16,12,13,fail
2110,10,14,12,18,7,14,succeed
2111,17,10,5,11,15,14,succeed
2112,18,13,9,7,12,13,succeed
2113,14,10,14,7,10,8,succeed
2114,13,9,19,9,7,14,succeed
2115,13,11,6,16,8,8,succeed
2116,13,13,10,10,15,13,succeed
2117,13,10,9,11,9,8,fail
2118,11,13,12,12,10,9,fail
2119,18,14,9,15,11,19,succeed
2120,12,12,12,13,13,7,fail
2121,8,11,14,14,5,8,fail
2122,5,14,5,11,7,19,succeed
2123,12,10,14,9,20,5,succeed
2124,15,15,9,7,6,8,fail
2125,10,13,10,7,10,14,succeed
2126,7,18,18,4,2,18,fail
2127,19,13,11,15,12,7,succeed
2128,9,9,11,15,13,9,fail
2129,17,19,10,15,12,7,succeed
2130,11,9,13,9,19,12,succeed
2131,5,12,11,19,8,8,succeed
2132,12,10,17,3,11,11,fail
2133,10,9,20,5,20,5,fail
2134,12,12,11,11,15,11,succeed
2135,15,14,9,12,13,15,succeed
2136,3,15,12,12,10,10,fail
2137,16,11,16,7,15,10,succeed
2138,16,4,13,19,8,8,succeed
2139,16,15,19,10,6,11,succeed
2140,14,12,12,13,16,12,succeed
2141,11,15,11,11,12,7,fail
2142,2,13,18,16,9,11,succeed
2143,11,14,15,9,16,15,fail
2144,10,4,20,7,14,11,succeed
2145,16,9,15,12,12,17,succeed
2146,11,12,10,15,9,6,fail
2147,15,15,14,7,4,10,fail
2148,10,6,9,8,10,17,succeed
2149,16,9,13,15,8,8,succeed
2150,13,14,10,8,19,5,fail
2151,10,12,13,11,4,11,fail
2152,10,12,12,17,11,8,succeed
2153,13,9,18,7,11,12,succeed
2154,20,6,6,7,13,10,succeed
2155,18,8,12,5,16,4,succeed
2156,7,14,4,19,4,14,succeed
2157,12,12,17,13,10,8,succeed
2158,11,10,19,18,9,5,succeed
2159,16,13,5,11,14,11,succeed
2160,19,14,17,12,12,7,succeed
2161,14,14,11,13,16,12,fail
2162,15,9,8,14,16,10,succeed
2163,10,12,9,12,8,9,fail
2164,16,7,9,16,20,12,succeed
2165,7,8,13,17,5,18,succeed
2166,9,20,16,6,14,15,fail
2167,8,11,11,14,10,8,fail
2168,17,14,14,14,14,8,succeed
2169,11,20,11,8,14,11,fail
2170,8,14,9,12,12,6,fail
2171,10,12,12,8,10,9,fail
2172,10,17,8,10,5,19,fail
2173,17,9,10,15,15,10,succeed
2174,16,12,13,13,7,15,succeed
2175,15,18,2,15,4,14,succeed
2176,17,15,8,12,14,8,succeed
2177,14,15,9,17,11,7,fail
2178,15,7,14,14,11,14,fail
2179,9,17,14,10,11,4,fail
2180,10,18,18,5,8,10,succeed
2181,16,11,15,14,11,9,fail
2182,15,13,9,12,18,12,succeed
2183,8,7,14,15,13,12,fail
2184,11,10,14,14,20,16,succeed
2185,4,14,19,12,9,9,fail
2186,12,11,9,13,8,14,succeed
2187,12,10,5,17,13,7,succeed
2188,11,16,5,7,10,12,succeed
2189,14,7,10,15,12,6,succeed
2190,9,9,11,11,6,16,succeed
2191,13,10,12,14,17,4,succeed
2192,13,6,17,8,11,7,fail
2193,15,9,15,5,16,7,succeed
2194,17,16,6,9,15,10,succeed
2195,14,9,12,8,14,13,succeed
2196,10,11,9,17,10,13,fail
2197,6,13,10,11,15,15,succeed
2198,11,16,12,17,6,15,succeed
2199,8,12,9,20,15,9,succeed
2200,11,7,12,10,9,11,fail
2201,6,15,7,16,18,12,fail
2202,11,11,6,14,14,15,succeed
2203,17,14,7,16,18,19,succeed
2204,14,17,7,16,13,9,succeed
2205,16,12,10,15,14,6,succeed
2206,16,7,11,10,11,14,succeed
2207,13,8,8,8,15,14,succeed
2208,10,18,15,14,13,17,succeed
2209,7,17,5,16,12,12,succeed
2210,18,11,5,15,18,11,succeed
2211,7,13,14,12,11,6,fail
2212,18,12,11,15,7,15,succeed
2213,8,20,12,4,9,12,fail
2214,11,9,10,15,11,12,succeed
2215,17,12,19,14,10,12,succeed
2216,9,20,10,7,12,7,succeed
2217,18,12,3,18,8,9,succeed
2218,9,13,13,4,8,13,succeed
2219,13,10,16,8,9,5,fail
2220,16,8,10,11,16,13,succeed
2221,11,16,7,12,11,13,succeed
2222,17,6,16,12,15,11,succeed
2223,10,5,14,15,13,15,succeed
2224,6,10,9,16,11,10,fail
2225,5,17,14,12,8,10,fail
2226,9,11,16,5,12,11,fail
2227,8,7,11,7,18,13,fail
2228,11,12,16,10,12,15,succeed
2229,12,8,16,12,17,14,succeed
2230,9,10,7,9,11,20,succeed
2231,13,19,13,16,11,3,fail
2232,11,16,14,5,6,8,fail
2233,13,11,14,8,11,9,succeed
2234,15,16,10,17,17,10,succeed
2235,15,13,15,14,4,6,succeed
2236,13,18,11,9,13,11,succeed
2237,12,17,17,10,7,10,fail
2238,13,12,13,15,14,9,fail
2239,11,14,9,13,10,5,fail
2240,13,13,13,13,7,11,fail
2241,10,6,12,17,12,14,succeed
2242,10,14,7,19,7,11,fail
2243,17,19,16,17,7,2,succeed
2244,12,11,13,10,3,14,fail
2245,11,10,13,14,9,6,fail
2246,11,8,18,10,12,15,fail
2247,15,19,20,7,15,15,succeed
2248,12,9,5,16,10,12,succeed
2249,12,14,15,13,10,5,succeed
2250,10,15,5,18,11,12,succeed
2251,13,13,11,9,13,14,succeed
2252,13,15,13,4,15,9,fail
2253,4,13,9,7,20,12,succeed
2254,15,10,7,10,7,14,fail
2255,7,15,8,13,18,6,succeed
2256,6,7,16,14,19,5,fail
2257,13,20,10,15,17,11,succeed
2258,18,14,9,7,4,18,succeed
2259,11,10,12,7,11,18,succeed
2260,13,11,14,10,20,16,succeed
2261,13,11,12,11,10,14,succeed
2262,15,13,11,15,5,11,fail
2263,3,9,14,14,18,8,fail
2264,13,11,9,19,7,9,fail
2265,10,10,11,19,11,8,succeed
2266,15,7,15,11,12,5,fail
2267,13,10,9,10,14,14,succeed
2268,15,5,11,16,9,8,succeed
2269,18,8,11,12,10,14,succeed
2270,16,17,6,14,13,18,succeed
2271,11,14,12,15,8,14,succeed
2272,18,12,17,2,8,5,fail
2273,4,18,11,7,16,18,fail
2274,11,7,10,12,17,12,succeed
2275,7,10,10,10,15,8,fail
2276,17,12,13,13,2,17,succeed
2277,10,15,8,12,12,15,succeed
2278,10,8,19,8,10,12,fail
2279,9,16,6,11,13,15,succeed
2280,15,9,11,10,13,6,fail
2281,9,14,19,15,8,17,succeed
2282,8,9,10,20,19,11,succeed
2283,13,12,5,10,13,7,fail
2284,8,10,8,15,11,11,succeed
2285,14,6,5,14,20,14,fail
2286,6,10,8,10,19,13,succeed
2287,13,6,9,12,13,15,fail
2288,10,9,15,9,9,13,succeed
2289,13,9,7,15,11,13,succeed
2290,12,7,12,11,10,9,succeed
2291,11,15,11,11,12,6,succeed
2292,14,11,15,15,9,9,succeed
2293,10,19,15,5,5,12,succeed
2294,2,8,15,14,16,12,succeed
2295,9,14,8,13,15,10,succeed
2296,14,11,12,8,14,13,succeed
2297,10,12,4,14,8,12,fail
2298,20,4,12,10,9,14,succeed
2299,12,18,12,16,16,11,fail
2300,11,12,18,6,5,19,fail
2301,18,20,5,10,10,8,succeed
2302,7,18,11,13,8,12,succeed
2303,11,12,13,11,7,18,fail
2304,11,12,8,19,11,7,succeed
2305,11,11,15,12,13,17,succeed
2306,13,16,16,12,15,10,succeed
2307,12,14,13,15,9,12,fail
2308,9,10,15,16,5,12,succeed
2309,17,11,10,16,16,7,succeed
2310,9,10,18,10,14,13,succeed
2311,9,9,14,14,14,2,fail
2312,19,7,5,10,13,10,succeed
2313,20,16,12,6,11,11,succeed
2314,11,11,11,19,6,8,succeed
2315,8,16,11,14,5,11,succeed
2316,18,7,18,15,20,13,succeed
2317,10,5,10,13,16,13,succeed
2318,11,14,6,15,6,14,fail
2319,7,10,14,11,7,16,fail
2320,5,13,4,11,19,12,succeed
2321,6,13,14,8,8,12,succeed
2322,8,9,13,9,8,17,succeed
2323,18,13,8,7,13,14,succeed
2324,9,13,18,16,11,5,fail
2325,13,10,14,10,3,16,succeed
2326,8,18,3,11,9,13,succeed
2327,17,5,15,11,9,12,succeed
2328,15,18,8,14,12,15,succeed
2329,2,10,13,9,15,11,fail
2330,12,4,15,10,16,20,succeed
2331,16,12,11,5,13,6,succeed
2332,17,15,13,11,8,14,succeed
2333,8,13,12,5,14,20,succeed
2334,14,13,5,9,10,13,succeed
2335,8,12,10,9,10,15,succeed
2336,9,15,14,5,18,4,succeed
2337,20,10,10,19,13,17,succeed
2338,18,11,6,2,13,13,succeed
2339,16,13,17,16,13,8,succeed
2340,15,15,3,8,13,12,succeed
2341,15,12,14,11,15,6,succeed
2342,9,11,5,13,13,10,succeed
2343,10,16,5,14,13,8,succeed
2344,12,17,9,13,11,5,succeed
2345,7,12,15,12,10,9,succeed
2346,12,3,17,18,15,8,succeed
2347,4,16,5,18,14,5,succeed
2348,5,16,12,14,12,13,fail
2349,9,10,11,10,11,13,fail
2350,13,18,7,12,13,12,succeed
2351,18,14,20,12,15,12,succeed
2352,8,10,11,8,19,19,succeed
2353,16,9,13,17,13,7,succeed
2354,19,9,8,4,11,15,fail
2355,17,16,3,17,10,4,succeed
2356,9,8,8,14,14,7,succeed
2357,12,12,9,5,13,13,succeed
2358,14,10,18,12,7,13,succeed
2359,13,15,4,5,14,12,succeed
2360,14,9,19,16,15,9,succeed
2361,17,7,12,11,18,10,succeed
2362,18,13,11,10,18,12,succeed
2363,13,12,7,19,8,14,succeed
2364,5,15,18,15,2,19,succeed
2365,10,11,15,10,13,17,succeed
2366,13,13,19,14,7,12,fail
2367,14,15,13,12,8,14,succeed
2368,13,4,15,15,7,13,succeed
2369,13,16,11,13,11,11,succeed
2370,16,18,19,9,13,15,succeed
2371,17,19,15,9,9,4,succeed
2372,14,8,16,16,7,11,succeed
2373,9,20,15,9,9,5,succeed
2374,15,11,11,17,10,7,succeed
2375,12,18,13,11,12,10,succeed
2376,19,16,8,10,8,12,succeed
2377,15,5,11,12,11,12,fail
2378,17,3,12,19,10,11,fail
2379,9,10,13,7,8,14,succeed
2380,18,13,13,7,2,18,succeed
2381,12,8,16,10,12,13,succeed
2382,13,14,12,15,10,10,succeed
2383,8,11,7,15,13,12,succeed
2384,5,14,6,11,11,16,fail
2385,16,9,12,11,16,15,succeed
2386,8,11,13,13,11,16,succeed
2387,4,15,14,9,13,10,succeed
2388,10,9,11,12,12,8,fail
2389,11,10,13,13,10,10,succeed
2390,17,16,12,10,9,7,succeed
2391,13,13,11,12,13,9,fail
2392,12,12,15,8,9,15,succeed
2393,15,11,13,4,12,10,succeed
2394,18,8,15,8,11,7,fail
2395,8,8,13,3,15,19,succeed
2396,11,19,3,13,4,19,fail
2397,12,3,7,9,16,15,succeed
2398,5,14,12,12,12,12,succeed
2399,15,7,14,8,9,15,fail
2400,12,10,17,15,10,10,succeed
2401,7,15,13,10,11,9,succeed
2402,8,11,12,14,13,13,succeed
2403,5,13,13,17,9,19,succeed
2404,7,17,19,15,13,14,succeed
2405,18,5,3,18,10,12,succeed
2406,15,7,11,11,13,12,succeed
2407,15,5,14,11,14,20,fail
2408,9,11,7,9,17,15,succeed
2409,12,19,20,18,6,5,succeed
2410,10,12,12,19,14,16,succeed
2411,6,15,13,5,7,15,fail
2412,4,12,8,9,16,14,fail
2413,4,5,13,16,16,11,succeed
2414,18,10,10,12,9,11,succeed
2415,18,12,15,6,9,3,succeed
2416,16,16,11,6,9,8,fail
2417,13,16,13,14,11,2,fail
2418,19,10,9,16,15,19,succeed
2419,8,14,11,9,15,11,succeed
2420,4,12,7,11,16,13,succeed
2421,11,10,16,11,10,10,fail
2422,10,15,14,7,10,6,fail
2423,8,14,6,7,14,15,succeed
2424,12,12,20,13,15,16,succeed
2425,13,8,14,12,6,9,fail
2426,7,17,13,17,4,12,succeed
2427,5,16,9,9,12,14,succeed
2428,13,14,16,10,8,7,fail
2429,5,9,15,15,16,9,fail
2430,12,18,6,13,11,6,succeed
2431,17,18,3,3,16,3,fail
2432,13,11,11,8,8,9,succeed
2433,14,11,12,16,16,15,succeed
2434,12,9,13,10,13,7,fail
2435,5,13,16,12,12,7,fail
2436,19,14,6,11,13,14,succeed
2437,12,19,8,5,20,5,fail
2438,5,13,18,13,13,6,succeed
2439,12,6,10,4,12,16,fail
2440,11,16,13,12,8,6,fail
2441,10,10,7,12,11,15,succeed
